CNN-INTEGRATED SPECK COMPREHENSIVE SECURITY REPORT
------------------------------------------------------------------------------------------------------------------------
Image           | Enc_T(s) | Dec_T(s) | Entp   | NPCR%  | UACI%  | PSNR   | Corr_H | Corr_V | Corr_D
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_0_3584_size512.png | 0.0885   | 0.0797   | 7.6328 | 99.82  | 26.88  | 9.58   | -0.040 | -0.010 | 0.010 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_0_4096_size512.png | 0.0889   | 0.0854   | 7.6362 | 99.83  | 26.53  | 9.74   | 0.001  | 0.041  | 0.009 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_0_512_size512.png | 0.0961   | 0.0879   | 7.6139 | 99.80  | 28.37  | 9.03   | -0.044 | 0.032  | 0.020 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_1024_0_size512.png | 0.1004   | 0.0894   | 7.6166 | 99.79  | 30.00  | 8.54   | -0.059 | 0.033  | -0.009
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_1024_1024_size512.png | 0.0882   | 0.0835   | 7.6218 | 99.83  | 27.53  | 9.32   | -0.037 | -0.017 | 0.040 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_1024_1536_size512.png | 0.0858   | 0.0770   | 7.6377 | 99.84  | 26.01  | 9.94   | -0.003 | 0.029  | 0.020 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_1024_2048_size512.png | 0.0877   | 0.0788   | 7.6405 | 99.83  | 26.68  | 9.68   | -0.014 | -0.024 | -0.005
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_1024_2560_size512.png | 0.0858   | 0.0766   | 7.6369 | 99.85  | 25.69  | 10.09  | -0.023 | -0.044 | -0.008
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_1024_3072_size512.png | 0.0936   | 0.1035   | 7.6378 | 99.81  | 27.09  | 9.55   | -0.030 | -0.016 | 0.046 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_1024_3584_size512.png | 0.0878   | 0.0852   | 7.6418 | 99.83  | 27.79  | 9.25   | -0.014 | 0.037  | -0.019
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_1024_4096_size512.png | 0.0928   | 0.0823   | 7.6305 | 99.82  | 27.81  | 9.24   | -0.015 | 0.021  | 0.019 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_1024_512_size512.png | 0.0876   | 0.0873   | 7.6325 | 99.84  | 27.75  | 9.25   | -0.030 | 0.008  | 0.024 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_1536_0_size512.png | 0.0919   | 0.0827   | 7.6066 | 99.82  | 30.07  | 8.47   | -0.085 | -0.018 | -0.019
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_1536_1024_size512.png | 0.0904   | 0.0812   | 7.6312 | 99.82  | 27.38  | 9.40   | -0.077 | -0.026 | 0.023 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_1536_1536_size512.png | 0.0898   | 0.0835   | 7.6377 | 99.83  | 26.54  | 9.75   | 0.020  | 0.008  | 0.008 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_1536_2048_size512.png | 0.0876   | 0.0779   | 7.6362 | 99.83  | 26.33  | 9.82   | -0.000 | 0.020  | 0.026 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_1536_2560_size512.png | 0.0922   | 0.0816   | 7.6315 | 99.81  | 26.26  | 9.89   | -0.036 | 0.016  | -0.007
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_1536_3072_size512.png | 0.0865   | 0.0829   | 7.6386 | 99.85  | 26.93  | 9.57   | -0.041 | 0.029  | 0.006 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_1536_3584_size512.png | 0.1026   | 0.0989   | 7.6276 | 99.78  | 29.97  | 8.55   | -0.042 | -0.001 | 0.026 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_1536_4096_size512.png | 0.0880   | 0.0839   | 7.6264 | 99.84  | 28.70  | 8.90   | -0.048 | 0.004  | 0.009 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_1536_512_size512.png | 0.0854   | 0.0775   | 7.6321 | 99.85  | 26.92  | 9.53   | -0.085 | 0.016  | 0.008 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_2048_0_size512.png | 0.0872   | 0.0819   | 7.6036 | 99.85  | 29.93  | 8.52   | -0.045 | -0.016 | 0.006 
