CNN-INTEGRATED SPECK COMPREHENSIVE SECURITY REPORT
------------------------------------------------------------------------------------------------------------------------
Image           | Enc_T(s) | Dec_T(s) | Entp   | NPCR%  | UACI%  | PSNR   | Corr_H | Corr_V | Corr_D
TCGA-A8-A07O-DX1_xmin11777_ymin16227_MPP-0_1536_0_size512.png | 0.0986   | 0.0901   | 7.6121 | 99.80  | 31.44  | 8.07   | -0.046 | 0.051  | -0.004
TCGA-A8-A07O-DX1_xmin11777_ymin16227_MPP-0_1536_1024_size512.png | 0.1010   | 0.0937   | 7.6155 | 99.79  | 31.36  | 8.11   | -0.062 | 0.009  | 0.016 
TCGA-A8-A07O-DX1_xmin11777_ymin16227_MPP-0_1536_1536_size512.png | 0.1074   | 0.1000   | 7.6172 | 99.77  | 30.24  | 8.45   | -0.022 | 0.015  | 0.040 
TCGA-A8-A07O-DX1_xmin11777_ymin16227_MPP-0_1536_2048_size512.png | 0.1114   | 0.1040   | 7.6257 | 99.77  | 29.81  | 8.60   | -0.024 | 0.038  | 0.014 
TCGA-A8-A07O-DX1_xmin11777_ymin16227_MPP-0_1536_2560_size512.png | 0.1212   | 0.1108   | 7.6224 | 99.76  | 29.80  | 8.60   | -0.026 | 0.019  | 0.012 
TCGA-A8-A07O-DX1_xmin11777_ymin16227_MPP-0_1536_3072_size512.png | 0.1104   | 0.0948   | 7.6232 | 99.77  | 30.85  | 8.27   | -0.035 | 0.014  | 0.024 
TCGA-A8-A07O-DX1_xmin11777_ymin16227_MPP-0_1536_3584_size512.png | 0.1007   | 0.0904   | 7.6213 | 99.78  | 30.37  | 8.39   | -0.044 | 0.006  | -0.006
TCGA-A8-A07O-DX1_xmin11777_ymin16227_MPP-0_1536_4096_size512.png | 0.1017   | 0.0911   | 7.6236 | 99.79  | 29.44  | 8.69   | -0.019 | 0.015  | 0.032 
TCGA-A8-A07O-DX1_xmin11777_ymin16227_MPP-0_1536_512_size512.png | 0.1012   | 0.0923   | 7.6177 | 99.78  | 31.70  | 8.02   | -0.021 | 0.040  | 0.015 
TCGA-A8-A07O-DX1_xmin11777_ymin16227_MPP-0_512_0_size512.png | 0.0984   | 0.0933   | 7.6177 | 99.80  | 30.50  | 8.34   | -0.053 | 0.025  | 0.005 
TCGA-A8-A07O-DX1_xmin11777_ymin16227_MPP-0_512_1024_size512.png | 0.0988   | 0.0921   | 7.6133 | 99.80  | 31.42  | 8.08   | -0.080 | 0.010  | 0.004 
TCGA-A8-A07O-DX1_xmin11777_ymin16227_MPP-0_512_1536_size512.png | 0.1022   | 0.0919   | 7.6160 | 99.78  | 30.33  | 8.41   | -0.069 | -0.002 | 0.013 
TCGA-A8-A07O-DX1_xmin11777_ymin16227_MPP-0_512_2048_size512.png | 0.0973   | 0.0891   | 7.6137 | 99.82  | 30.61  | 8.30   | -0.051 | 0.010  | 0.004 
TCGA-A8-A07O-DX1_xmin11777_ymin16227_MPP-0_512_2560_size512.png | 0.0992   | 0.0891   | 7.6198 | 99.80  | 30.40  | 8.38   | -0.046 | -0.002 | 0.027 
TCGA-A8-A07O-DX1_xmin11777_ymin16227_MPP-0_512_3072_size512.png | 0.0927   | 0.0844   | 7.6134 | 99.82  | 30.26  | 8.38   | -0.066 | 0.034  | 0.003 
TCGA-A8-A07O-DX1_xmin11777_ymin16227_MPP-0_512_3584_size512.png | 0.0896   | 0.0819   | 7.6014 | 99.83  | 30.61  | 8.26   | -0.062 | 0.003  | 0.030 
TCGA-A8-A07O-DX1_xmin11777_ymin16227_MPP-0_512_4096_size512.png | 0.0964   | 0.0865   | 7.6110 | 99.81  | 30.58  | 8.31   | -0.032 | -0.004 | 0.005 
TCGA-A8-A07O-DX1_xmin11777_ymin16227_MPP-0_512_512_size512.png | 0.1000   | 0.0915   | 7.6136 | 99.80  | 30.79  | 8.25   | -0.029 | -0.006 | 0.006 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_0_0_size512.png | 0.0961   | 0.0883   | 7.6154 | 99.81  | 34.49  | 7.34   | -0.108 | 0.011  | -0.016
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_0_1024_size512.png | 0.1057   | 0.0992   | 7.6169 | 99.77  | 31.65  | 8.06   | -0.035 | 0.027  | 0.024 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_0_1536_size512.png | 0.0986   | 0.0894   | 7.6178 | 99.79  | 31.00  | 8.22   | -0.040 | 0.027  | -0.006
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_0_2048_size512.png | 0.0953   | 0.0886   | 7.6212 | 99.81  | 31.01  | 8.21   | -0.047 | -0.007 | 0.010 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_0_2560_size512.png | 0.0916   | 0.0882   | 7.6134 | 99.82  | 31.35  | 8.10   | -0.065 | 0.031  | 0.027 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_0_512_size512.png | 0.0956   | 0.0878   | 7.6215 | 99.80  | 32.27  | 7.87   | -0.043 | 0.042  | 0.033 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_1024_0_size512.png | 0.1109   | 0.1032   | 7.6210 | 99.77  | 32.42  | 7.86   | -0.023 | 0.033  | 0.031 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_1024_1024_size512.png | 0.1038   | 0.0943   | 7.6232 | 99.78  | 31.33  | 8.15   | -0.042 | 0.010  | 0.014 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_1024_1536_size512.png | 0.1072   | 0.1017   | 7.6211 | 99.77  | 31.71  | 8.05   | -0.035 | 0.025  | -0.000
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_1024_2048_size512.png | 0.1087   | 0.1027   | 7.6200 | 99.77  | 31.72  | 8.05   | -0.049 | -0.004 | 0.023 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_1024_2560_size512.png | 0.1117   | 0.1047   | 7.6196 | 99.76  | 33.26  | 7.66   | -0.042 | 0.040  | 0.002 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_1024_512_size512.png | 0.1207   | 0.1112   | 7.6218 | 99.76  | 32.10  | 7.95   | -0.010 | 0.024  | 0.022 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_1536_0_size512.png | 0.1043   | 0.0955   | 7.6216 | 99.78  | 32.16  | 7.92   | -0.064 | -0.005 | 0.029 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_1536_1024_size512.png | 0.1105   | 0.0996   | 7.6175 | 99.77  | 33.01  | 7.70   | -0.051 | 0.026  | 0.013 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_1536_1536_size512.png | 0.0997   | 0.0908   | 7.6228 | 99.81  | 31.10  | 8.20   | -0.066 | 0.014  | 0.054 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_1536_2048_size512.png | 0.1021   | 0.0927   | 7.6201 | 99.78  | 30.61  | 8.35   | -0.014 | 0.029  | -0.027
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_1536_2560_size512.png | 0.1113   | 0.1148   | 7.6220 | 99.75  | 31.96  | 8.00   | -0.018 | 0.005  | 0.002 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_1536_512_size512.png | 0.1051   | 0.0956   | 7.6210 | 99.77  | 32.50  | 7.83   | -0.036 | 0.050  | 0.020 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_2048_0_size512.png | 0.0936   | 0.0870   | 7.6151 | 99.81  | 32.27  | 7.86   | -0.042 | 0.046  | 0.025 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_2048_1024_size512.png | 0.1022   | 0.0920   | 7.6221 | 99.79  | 32.66  | 7.78   | -0.062 | 0.005  | 0.026 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_2048_1536_size512.png | 0.0911   | 0.0817   | 7.6187 | 99.82  | 30.95  | 8.21   | -0.077 | -0.005 | -0.018
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_2048_2048_size512.png | 0.0914   | 0.0820   | 7.6186 | 99.82  | 30.58  | 8.31   | -0.011 | 0.059  | 0.039 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_2048_2560_size512.png | 0.1094   | 0.1008   | 7.6239 | 99.78  | 30.87  | 8.29   | 0.006  | 0.015  | 0.002 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_2048_512_size512.png | 0.0999   | 0.0919   | 7.6174 | 99.79  | 33.48  | 7.58   | -0.046 | 0.029  | 0.032 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_512_0_size512.png | 0.1218   | 0.1117   | 7.6207 | 99.77  | 33.12  | 7.69   | -0.046 | 0.023  | -0.003
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_512_1024_size512.png | 0.0974   | 0.0901   | 7.6141 | 99.80  | 32.45  | 7.82   | -0.050 | 0.005  | 0.051 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_512_1536_size512.png | 0.1117   | 0.1146   | 7.6221 | 99.75  | 32.49  | 7.86   | -0.034 | 0.034  | -0.007
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_512_2048_size512.png | 0.1028   | 0.0989   | 7.6169 | 99.77  | 31.60  | 8.06   | -0.069 | -0.016 | 0.016 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_512_2560_size512.png | 0.0882   | 0.0770   | 7.6015 | 99.84  | 32.31  | 7.82   | -0.098 | 0.017  | 0.006 
TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0_512_512_size512.png | 0.1092   | 0.1032   | 7.6183 | 99.76  | 32.30  | 7.90   | -0.069 | 0.013  | 0.046 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_0_0_size512.png | 0.0930   | 0.0836   | 7.6082 | 99.81  | 31.53  | 8.03   | -0.064 | 0.015  | 0.015 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_0_1024_size512.png | 0.0930   | 0.0867   | 7.6094 | 99.81  | 32.76  | 7.72   | -0.084 | -0.017 | 0.060 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_0_1536_size512.png | 0.0884   | 0.0786   | 7.6084 | 99.84  | 32.19  | 7.85   | -0.099 | 0.056  | 0.025 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_0_2048_size512.png | 0.1131   | 0.0953   | 7.6170 | 99.78  | 32.35  | 7.86   | -0.072 | -0.026 | 0.018 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_0_2560_size512.png | 0.1134   | 0.1098   | 7.6172 | 99.77  | 31.68  | 8.04   | -0.076 | 0.024  | -0.000
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_0_512_size512.png | 0.0976   | 0.0903   | 7.6095 | 99.80  | 33.02  | 7.66   | -0.046 | 0.017  | 0.021 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_1024_0_size512.png | 0.0943   | 0.0883   | 7.6078 | 99.80  | 32.95  | 7.68   | -0.111 | 0.010  | 0.013 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_1024_1024_size512.png | 0.0906   | 0.0815   | 7.6108 | 99.83  | 33.37  | 7.57   | -0.087 | 0.033  | 0.053 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_1024_1536_size512.png | 0.0953   | 0.0866   | 7.6123 | 99.81  | 31.55  | 8.04   | -0.065 | 0.001  | 0.011 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_1024_2048_size512.png | 0.1079   | 0.1008   | 7.6191 | 99.77  | 32.08  | 7.94   | -0.031 | 0.000  | 0.012 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_1024_2560_size512.png | 0.1108   | 0.0982   | 7.6191 | 99.80  | 34.43  | 7.36   | -0.097 | 0.033  | -0.014
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_1024_512_size512.png | 0.0850   | 0.0780   | 7.5918 | 99.86  | 33.10  | 7.58   | -0.119 | -0.025 | -0.013
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_1536_0_size512.png | 0.0964   | 0.0870   | 7.6100 | 99.79  | 33.45  | 7.55   | -0.063 | 0.062  | -0.001
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_1536_1024_size512.png | 0.0961   | 0.0869   | 7.6093 | 99.81  | 33.47  | 7.55   | -0.077 | -0.007 | 0.007 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_1536_1536_size512.png | 0.0866   | 0.0803   | 7.5976 | 99.84  | 31.61  | 7.97   | -0.145 | 0.023  | 0.057 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_1536_2048_size512.png | 0.1119   | 0.1091   | 7.6177 | 99.77  | 33.99  | 7.46   | -0.065 | 0.023  | 0.011 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_1536_2560_size512.png | 0.1105   | 0.1090   | 7.6175 | 99.78  | 35.36  | 7.15   | -0.055 | 0.041  | 0.003 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_1536_512_size512.png | 0.0935   | 0.0863   | 7.6081 | 99.83  | 31.45  | 8.06   | -0.073 | 0.020  | 0.005 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_2048_0_size512.png | 0.1017   | 0.0937   | 7.6132 | 99.80  | 32.15  | 7.90   | -0.061 | 0.025  | 0.018 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_2048_1024_size512.png | 0.0996   | 0.0891   | 7.6095 | 99.79  | 32.03  | 7.92   | -0.031 | 0.013  | 0.039 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_2048_1536_size512.png | 0.0934   | 0.0838   | 7.6071 | 99.81  | 31.81  | 7.95   | -0.060 | 0.047  | 0.009 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_2048_2048_size512.png | 0.1023   | 0.0926   | 7.6177 | 99.78  | 33.15  | 7.65   | -0.035 | 0.026  | -0.018
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_2048_2560_size512.png | 0.1113   | 0.0992   | 7.6178 | 99.78  | 32.67  | 7.77   | -0.066 | 0.034  | 0.035 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_2048_512_size512.png | 0.0947   | 0.0890   | 7.6100 | 99.81  | 31.48  | 8.05   | -0.065 | 0.019  | 0.027 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_2560_0_size512.png | 0.0995   | 0.0903   | 7.6163 | 99.79  | 32.30  | 7.85   | -0.064 | 0.017  | 0.006 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_2560_1024_size512.png | 0.1010   | 0.0909   | 7.6123 | 99.80  | 32.99  | 7.67   | -0.055 | 0.012  | 0.017 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_2560_1536_size512.png | 0.0992   | 0.0900   | 7.6146 | 99.80  | 32.14  | 7.89   | -0.046 | -0.002 | 0.005 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_2560_2048_size512.png | 0.1112   | 0.1140   | 7.6198 | 99.77  | 32.50  | 7.83   | -0.063 | -0.012 | 0.005 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_2560_2560_size512.png | 0.1071   | 0.0993   | 7.6175 | 99.78  | 33.10  | 7.68   | -0.050 | 0.027  | 0.027 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_2560_512_size512.png | 0.0994   | 0.0916   | 7.6145 | 99.79  | 33.00  | 7.68   | -0.059 | 0.010  | -0.000
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_512_0_size512.png | 0.0907   | 0.0811   | 7.6050 | 99.82  | 31.73  | 7.97   | -0.037 | 0.057  | 0.030 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_512_1024_size512.png | 0.0867   | 0.0785   | 7.5965 | 99.84  | 34.55  | 7.28   | -0.109 | 0.046  | 0.013 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_512_1536_size512.png | 0.0884   | 0.0798   | 7.6053 | 99.83  | 32.35  | 7.80   | -0.097 | -0.037 | 0.013 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_512_2048_size512.png | 0.1020   | 0.0924   | 7.6169 | 99.79  | 31.15  | 8.18   | -0.052 | -0.015 | 0.033 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_512_2560_size512.png | 0.0938   | 0.0842   | 7.6133 | 99.81  | 31.49  | 8.06   | -0.062 | 0.012  | 0.009 
TCGA-A8-A09X-DX1_xmin55379_ymin38394_MPP-0_512_512_size512.png | 0.0849   | 0.0781   | 7.5965 | 99.86  | 31.92  | 7.88   | -0.111 | 0.015  | -0.002
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_0_0_size512.png | 0.0983   | 0.0897   | 7.6413 | 99.80  | 28.48  | 9.03   | -0.022 | -0.002 | 0.022 
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_0_1024_size512.png | 0.0957   | 0.0883   | 7.6423 | 99.81  | 26.86  | 9.65   | 0.014  | 0.001  | -0.007
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_0_1536_size512.png | 0.0953   | 0.0880   | 7.6433 | 99.81  | 27.13  | 9.53   | -0.025 | 0.004  | 0.002 
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_0_2048_size512.png | 0.0975   | 0.0921   | 7.6482 | 99.80  | 27.08  | 9.55   | -0.016 | -0.013 | -0.017
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_0_2560_size512.png | 0.0984   | 0.0906   | 7.6468 | 99.80  | 27.22  | 9.51   | -0.004 | -0.007 | -0.016
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_0_512_size512.png | 0.0904   | 0.0820   | 7.6474 | 99.82  | 27.34  | 9.42   | -0.052 | 0.019  | 0.032 
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_1024_0_size512.png | 0.0934   | 0.0842   | 7.6369 | 99.81  | 28.13  | 9.14   | -0.031 | 0.034  | 0.033 
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_1024_1024_size512.png | 0.0991   | 0.0894   | 7.6393 | 99.80  | 27.96  | 9.22   | -0.023 | 0.039  | 0.014 
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_1024_1536_size512.png | 0.0929   | 0.0851   | 7.6423 | 99.81  | 27.59  | 9.34   | 0.005  | 0.036  | -0.011
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_1024_2048_size512.png | 0.0984   | 0.0879   | 7.6462 | 99.80  | 27.35  | 9.44   | 0.016  | -0.002 | 0.026 
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_1024_2560_size512.png | 0.0943   | 0.0853   | 7.6465 | 99.81  | 27.71  | 9.30   | -0.025 | 0.057  | 0.013 
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_1024_512_size512.png | 0.0944   | 0.0853   | 7.6452 | 99.81  | 27.99  | 9.19   | -0.026 | 0.030  | -0.012
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_1536_0_size512.png | 0.0956   | 0.0850   | 7.6284 | 99.81  | 29.40  | 8.72   | -0.026 | 0.053  | 0.013 
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_1536_1024_size512.png | 0.1088   | 0.0959   | 7.6412 | 99.78  | 28.55  | 9.02   | -0.043 | 0.024  | -0.011
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_1536_1536_size512.png | 0.0916   | 0.0827   | 7.6477 | 99.82  | 28.21  | 9.08   | -0.032 | 0.028  | 0.011 
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_1536_2048_size512.png | 0.0971   | 0.0885   | 7.6452 | 99.81  | 27.70  | 9.31   | -0.033 | -0.023 | -0.010
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_1536_2560_size512.png | 0.0988   | 0.0889   | 7.6404 | 99.79  | 27.34  | 9.48   | -0.029 | 0.024  | -0.018
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_1536_512_size512.png | 0.0992   | 0.0890   | 7.6356 | 99.80  | 29.01  | 8.85   | -0.041 | 0.010  | 0.024 
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_2048_0_size512.png | 0.0939   | 0.0839   | 7.6376 | 99.82  | 28.99  | 8.82   | -0.037 | 0.017  | 0.023 
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_2048_1024_size512.png | 0.0894   | 0.0815   | 7.6484 | 99.83  | 28.53  | 8.97   | 0.032  | -0.021 | 0.020 
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_2048_1536_size512.png | 0.1001   | 0.0927   | 7.6451 | 99.79  | 27.81  | 9.28   | -0.033 | 0.017  | -0.007
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_2048_2048_size512.png | 0.1034   | 0.0944   | 7.6437 | 99.79  | 27.51  | 9.41   | -0.052 | -0.005 | 0.015 
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_2048_2560_size512.png | 0.0995   | 0.0886   | 7.6432 | 99.80  | 27.17  | 9.54   | -0.034 | 0.009  | 0.039 
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_2048_512_size512.png | 0.0930   | 0.0840   | 7.6455 | 99.81  | 28.81  | 8.88   | -0.014 | 0.005  | -0.012
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_512_0_size512.png | 0.0997   | 0.0884   | 7.6391 | 99.79  | 28.03  | 9.19   | -0.005 | 0.021  | 0.023 
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_512_1024_size512.png | 0.0938   | 0.0884   | 7.6424 | 99.81  | 27.23  | 9.48   | -0.053 | 0.018  | -0.012
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_512_1536_size512.png | 0.0937   | 0.0840   | 7.6320 | 99.82  | 28.83  | 8.91   | -0.031 | -0.002 | 0.008 
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_512_2048_size512.png | 0.1009   | 0.0892   | 7.6437 | 99.80  | 26.85  | 9.66   | 0.009  | 0.028  | -0.001
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_512_2560_size512.png | 0.1008   | 0.0922   | 7.6477 | 99.79  | 26.85  | 9.67   | -0.001 | -0.005 | 0.009 
TCGA-AC-A2BK-DX1_xmin15426_ymin8344_MPP-0_512_512_size512.png | 0.0907   | 0.0808   | 7.6468 | 99.83  | 27.70  | 9.26   | -0.043 | -0.024 | -0.014
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_0_0_size512.png | 0.0878   | 0.0802   | 7.6033 | 99.84  | 28.97  | 8.79   | -0.030 | 0.007  | 0.021 
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_0_1024_size512.png | 0.0854   | 0.0800   | 7.6014 | 99.86  | 28.48  | 8.93   | -0.045 | 0.006  | 0.026 
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_0_1536_size512.png | 0.1121   | 0.0956   | 7.6146 | 99.78  | 29.15  | 8.81   | -0.027 | -0.025 | 0.033 
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_0_2048_size512.png | 0.0841   | 0.0755   | 7.6011 | 99.87  | 27.84  | 9.13   | -0.079 | 0.011  | 0.013 
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_0_2560_size512.png | 0.0855   | 0.0804   | 7.5912 | 99.86  | 28.49  | 8.93   | -0.079 | -0.024 | 0.002 
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_0_3072_size512.png | 0.0841   | 0.0751   | 7.5943 | 99.87  | 28.07  | 9.05   | -0.046 | 0.015  | -0.017
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_0_3584_size512.png | 0.0884   | 0.0820   | 7.5966 | 99.84  | 27.80  | 9.19   | -0.043 | -0.014 | 0.018 
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_0_4096_size512.png | 0.0912   | 0.0820   | 7.6076 | 99.82  | 28.67  | 8.92   | -0.024 | -0.003 | 0.011 
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_0_512_size512.png | 0.0918   | 0.0845   | 7.6120 | 99.82  | 29.49  | 8.66   | -0.045 | 0.015  | 0.039 
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_1024_0_size512.png | 0.0918   | 0.0836   | 7.6132 | 99.81  | 29.03  | 8.80   | -0.021 | 0.011  | -0.005
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_1024_1024_size512.png | 0.0865   | 0.0784   | 7.6017 | 99.84  | 28.95  | 8.78   | -0.084 | 0.036  | 0.004 
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_1024_1536_size512.png | 0.1085   | 0.1030   | 7.6143 | 99.76  | 29.03  | 8.86   | -0.026 | -0.001 | -0.018
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_1024_2048_size512.png | 0.0851   | 0.0776   | 7.5830 | 99.87  | 28.92  | 8.77   | -0.033 | 0.024  | 0.027 
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_1024_2560_size512.png | 0.0881   | 0.0807   | 7.5971 | 99.84  | 28.61  | 8.90   | -0.055 | 0.004  | 0.022 
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_1024_3072_size512.png | 0.0868   | 0.0800   | 7.6011 | 99.85  | 27.87  | 9.15   | -0.017 | 0.011  | 0.040 
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_1024_3584_size512.png | 0.0858   | 0.0812   | 7.6067 | 99.85  | 27.98  | 9.12   | -0.051 | -0.001 | -0.002
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_1024_4096_size512.png | 0.0920   | 0.0842   | 7.6109 | 99.82  | 28.23  | 9.08   | -0.064 | 0.016  | 0.017 
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_1024_512_size512.png | 0.1636   | 0.0873   | 7.6112 | 99.80  | 29.66  | 8.62   | -0.015 | 0.021  | 0.007 
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_1536_0_size512.png | 0.0959   | 0.0858   | 7.6053 | 99.81  | 30.25  | 8.43   | -0.078 | -0.015 | 0.017 
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_1536_1024_size512.png | 0.0840   | 0.0737   | 7.5826 | 99.87  | 29.01  | 8.72   | -0.064 | -0.039 | 0.003 
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_1536_1536_size512.png | 0.0954   | 0.0910   | 7.5910 | 99.80  | 30.04  | 8.48   | -0.082 | 0.018  | -0.010
TCGA-AC-A2QH-DX1_xmin42173_ymin16859_MPP-0_1536_2048_size512.png | 0.0852   | 0.0755   | 7.5716 | 99.87  | 29.00  | 8.72   | -0.101 | -0.003 | 0.010 
